Road Code,From (km),To (km),Depot,EE,CE,Province,Count
B0579,0,4600,Kaduruwela,Polonnaruwa,Polonnaruwa,North Central Province,
B0580,0,8170,Mahiyanganaya,Mahiyanganaya,Badulla,UVA Province,
B0581,0,80,Mirahawatta,Bandarawela,Badulla,UVA Province,
B0582,0,7940,Ramboda,Nuwara Eliya,Nuwara Eliya,Central Province,
B0583,0,1800,Molagoda,Kegalle,Kegalle,Sabaragamuwa Province,
B0584,0,11700,Bellana,Agalawatta,Kalutara,Western Province,
B0585,0,1060,Kalutara,Kalutara,Kalutara,Western Province,
B0586,0,320,Matale,Matale,Matale,Central Province,
B0587,0,7165,Uda malala,Hambantota,Hambantota,Southern Province,
B0587,7165,14113,Bodagama,Monaragala,Monaragala,UVA Province,
B0588,0,10060,Weekada,Ruwanwella,Kegalle,Sabaragamuwa Province,
B0588,10060,12360,Ulapane,Kadugannawa,Kandy,Central Province,
B0589,0,4080,Parakaduwa,Ratnapura,Ratnapura,Sabaragamuwa Province,
B0590,0,1160,Ampara,Ampara,Ampara,Add.P Akkaraipattu,
B0591,0,610,Malpana,Kundasale,Kandy,Central Province,
B0592,0,12810,,Kegalle,Kegalle,Sabaragamuwa Province,
B0593,0,7990,Pagal owita,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0593,7990,27080,Molamure,Pelmadulla,Ratnapura,Sabaragamuwa Province,
B0594,0,5200,Nugaduwa,Galle,Galle,Southern Province,
B0595,0,12550,Welewatta,Matara,Matara,Southern Province,
B0596,0,8015,Wattala,Negambo,Gampaha,Western Province,
B0597,0,4610,Negambo unit ,Negambo,Gampaha,Western Province,
B0598,0,4000,Negambo unit ,Negambo,Gampaha,Western Province,
B0599,0,3540,Hettimulla,Kegalle,Kegalle,Sabaragamuwa Province,
B0600,0,5080,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
B0601,0,4390,Dewalegama,Kegalle,Kegalle,Sabaragamuwa Province,
B0602,0,8190,Abanpitiya,Kegalle,Kegalle,Sabaragamuwa Province,
B0603,0,11910,Morawatta,Ruwanwella,Kegalle,Sabaragamuwa Province,
