Road Number,Class,Name,From (m),To (m),Length (m),Deport,Deport Code,EE,EE Code,CE,CE Code,Province,Prov Code
B0093,B,Dehiowita - Deraniyagala - Noori,0,27790,27790,Dehiowita,09221,Ruwanwella,0922,Kegalle,092,Sabaragamuwa Province,09
B0094,B,Dehiwela - Maharagama,0,2870,2870,Ratmalana,01115,Colombo,0111,Colombo,011,Western Province,01
B0094,B,Dehiwela - Maharagama,2870,7530,4660,Navinna,01112,Colombo,0111,Colombo,011,Western Province,01
B0095,B,Delgoda - Dompe - Giridara,0,1940,1940,Pattiwila,01214,Gampaha,0121,Gampaha,012,Western Province,01
B0095,B,Delgoda - Dompe - Giridara,1940,11990,10050,Pugoda,01233,Nittambuwa,0123,Gampaha,012,Western Province,01
B0096,,Dematagoda - Wellampitiya,0,590,590,CMC,01110,Colombo,0111,Colombo,011,Western Province,01
B0096,B,Dematagoda - Wellampitiya,590,2370,1780,Orugodawatta,01114,Colombo,0111,Colombo,011,Western Province,01
B0097,B,Demodera - Spring Valley - Badulla,0,21280,21280,Hali-Ela,08122,Badulla,0812,Badulla,081,UVA Province,08
B0098,B,Denegama - Mulatiyana,0,12007,12007,Beragama,03221,Deniyaya,0322,Matara,032,Southern Province,03
B0099,B,Deniyaya - Viharahena,0,7950,7950,Porupitiya,03223,Deniyaya,0322,Matara,032,Southern Province,03
B0100,B,Dickwella - Jangulla - Talpitigala,0,23450,23450,Hali-Ela,08122,Badulla,0812,Badulla,081,UVA Province,08
B0101,B,Dikwella - Beliatte,0,3970,3970,Welewatta,03211,Matara,0321,Matara,032,Southern Province,03
B0101,B,Dikwella - Beliatte,3970,12800,8830,Tangalle,03311,Tangalle,0331,Hambantota,033,Southern Province,03
B0102,B,Diyatalawa - Aluthwela North,0,2135,2135,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0103,B,Diyatalawa - Aluthwela South,0,2440,2440,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0104,B,Diyatalawa - Mirahawatta,0,6440,6440,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0105,B,Diyatalawa - Welanhinna - Walagahawela,0,5145,5145,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0106,B,Dodanduwa - Gonapinuwala,0,3900,3900,Baddegama,03111,Galle,0311,Galle,031,Southern Province,03
B0107,B,Dondra Light House Road,0,1080,1080,Welewatta,03211,Matara,0321,Matara,032,Southern Province,03
B0108,B,Dunagaha - Nilpanagoda,0,2950,2950,Madampalla,01222,Negambo,0122,Gampaha,012,Western Province,01
B0108,B,Dunagaha - Nilpanagoda,2950,5750,2800,Minuwangoda,01213,Gampaha,0121,Gampaha,012,Western Province,01
B0109,B,"Edmand Mawatha, Galle",0,3490,3490,Nugaduwa,03113,Galle,0311,Galle,031,Southern Province,03
B0110,B,Eheliyagoda - Dehiowita,0,3110,3110,Parakaduwa,09114,Ratnapura,0911,Ratnapura,091,Sabaragamuwa Province,09
B0110,B,Eheliyagoda - Dehiowita,3110,16460,13350,Dehiowita,09221,Ruwanwella,0922,Kegalle,092,Sabaragamuwa Province,09
B0111,B,Ekala - Kotadeniyawa,0,2985,2985,Ja-ela,01221,Negambo,0122,Gampaha,012,Western Province,01
B0111,B,Ekala - Kotadeniyawa,2985,15145,12160,Minuwangoda,01213,Gampaha,0121,Gampaha,012,Western Province,01
B0111,B,Ekala - Kotadeniyawa,15145,27270,12125,Madampalla,01222,Negambo,0122,Gampaha,012,Western Province,01
B0112,B,Elahera - Giritale,0,30025,30025,Elahera,07222,Habarana,0722,Polonnaruwa,072,North Central Province,07
B0112,B,Elahera - Giritale,30025,39925,9900,Minneriya,07223,Habarana,0722,Polonnaruwa,072,North Central Province,07
B0113,B,Ella - Passara,0,4870,4870,Ella,08111,Bandarawela,0811,Badulla,081,UVA Province,08
B0113,B,Ella - Passara,4870,26630,21760,Debadda,08121,Badulla,0812,Badulla,081,UVA Province,08
B0114,B,Elpitiya - Avittawa - Lewwanduwa,0,9290,9290,Thalgaswala,03121,Hiniduma,0312,Galle,031,Southern Province,03
B0114,B,Elpitiya - Avittawa - Lewwanduwa,9290,27045,17755,Horawala,01322,Agalawatta,0132,Kalutara,013,Western Province,01
B0115,B,Embilipitiya - Panamure - Bulutota,0,37750,37750,Embilipitiya,09132,Embilipitiya,0913,Ratnapura,091,Sabaragamuwa Province,09
B0116,B,Embilmeegama - Daulagala - Penideniya,0,11130,11130,Meewathura,02133,Kadugannawa,0213,Kandy,021,Central Province,02
B0117,B,Eppawala - Timbiriwewa,0,11375,11375,Thalawa,07114,Anuradhapura,0711,Anuradhapura,071,North Central Province,07
B0118,B,Eriyagama - Penideniya,0,1012,1012,Kadugannawa,02132,Kadugannawa,0213,Kandy,021,Central Province,02
